Instability,Abstractness
0.886364,0
0.615385,0
0.796748,0
0.755556,0.136364
0.863014,0.076923
0.893281,0.121951
0.905109,0.0125
0.820946,0.098361
0.808824,0.526316
0.928571,0.333333
0.945946,0
0.921162,0.043478
0.645161,0
0.87931,0.8
0.87931,0.7
0.918033,0
0.94898,0
0.921053,0
0.899083,0.071429
0.908654,0
1,0
0.893617,0
0.867769,0.117647
0.928571,0.5
0.95122,0
0.821429,0.090909
0.946309,0
0.887273,0.394737
0.833333,0
0.830986,0.16129
0.969325,0
0.955556,0
0.923077,1
0.90566,0.026316
0.863636,0
0.895833,0
0.911765,0
0.955882,0
0.894737,0
0.908397,0.111111
0.873926,0
0.928205,0.15
0.923913,0
0.93014,0
0.897351,0
0.909747,0.333333
0.89899,0.136364
0.875,0
0.810127,0.19697
0.887255,0.045455
0.859375,0.4
0.974359,0
1,0
0.971429,0
0.905,0.945455
0.934426,0
0.91791,0
1,0
0.803279,0.090909
1,0
0.818182,0
0.8,1
0.904762,0
0.9375,0.666667
0.918605,0.086957
0.917647,0.142857
0,0
0.725,0
0.835821,0.214286
0.908046,0.076923
0.730769,0.28
0.882353,0
0.904762,0.666667
0.9,0
0.92,0
0.973684,0
0.941176,0
0.877551,0
0.734694,0.017857
0.933333,0
0.875,0
0.766667,0
0.95082,0
0.607143,0.6875
0.770701,0.25
0.859477,0
0.894737,0
0.912281,0
0.8,0
0.889764,0.153846
0.88764,0
0.9,0.2
0.886364,0.125
0.887097,0.111111
0.923077,0
0.913043,0
0.851852,0.333333
0.754902,0.053571
0.865854,0.642857
0.82716,0.111111
0.9,0
0.897638,0.266667
0.953488,0
0.958333,0
0.908537,0
0.833333,0
1,0
0.871287,0
0.916667,0.166667
0.9375,0
0.72,0
0.831615,0.034483
